project	frequency
rsyntaxtextarea	7
openapi	7
stats	7
tycho-p2-director-plugin	7
spring-batch-admin-manager	7
spring-ldap-core-tiger	7
lucene-spellchecker	7
jclouds-allblobstore	7
jamm	7
hibernate-search-engine	7
jboss-as-parent	7
substance	7
jetty-deploy	7
Logging	7
features	7
snmp4j	7
access-modifier-checker	7
jukito	7
opennlp-tools	7
swingx-core	7
sesame-repository-api	7
spring-data-parent	7
apache-tomee	7
htmlunit-core-js	7
jempbox	7
samples	7
hibernate-search-analyzers	7
grails-web	7
fontbox	7
spring-support	7
selenium-ie-driver	7
jsf-facelets	7
gt-geojson	7
analytics	7
rome-fetcher	7
mqtt-client	7
solr	7
bcmail-jdk15	7
mapdb	7
arquillian-core-api	7
lucene-misc	7
pax-exam-link-mvn	7
mirror	7
stax-ex	7
cxf-rt-ws-addr	7
cxf-rt-rs-extension-providers	7
servlet	7
jai-core	7
xwiki-commons-component-api	7
batik-ext	7
spring-hateoas	7
avalon-framework-api	7
mm	7
randomizedtesting-runner	7
metrics-servlets	7
webapp	7
drools-decisiontables	7
gdx	7
seam-bom	7
jboss-as-naming	7
portal-impl	7
analysis-pom	7
mockwebserver	7
neo4j-shell	7
gremlin-java	7
root	7
simple-jndi	7
xmlrpc-common	7
mule-module-scripting	7
batik-parser	7
jboss-msc	7
text	7
idea	7
jboss-ejb3-ext-api	7
osgi_R4_core	7
arquillian-drone-impl	7
smartgwt	6
commons-vfs2	6
disklrucache	6
curator-x-discovery	6
tiles-el	6
resteasy-jettison-provider	6
postgis-jdbc	6
markdownj	6
hadoop-yarn-server-common	6
seam-transaction	6
joda-time-hibernate	6
infinispan-client-hotrod	6
shiro-spring	6
jbehave-web-selenium	6
restfb	6
kie-ci	6
gt-metadata	6
doxia-core	6
dropwizard-client	6
xwiki-commons-observation-api	6
jbossws-common	6
shrinkwrap-bom	6
gdx-platform	6
dashboard-view	6
http-server	6
units	6
plexus-interactivity-api	6
hornetq-jms-server	6
jboss-as-controller	6
foo-lib	6
file-management	6
jnpserver	6
ant-commons-net	6
cucumber-html	6
spring-shell	6
airbase	6
plexus-cipher	6
tiles-servlet	6
chemistry-opencmis-client-impl	6
aether-transport-http	6
gwt-codeserver	6
forms_rt	6
openid4java	6
arquillian-testenricher-resource	6
spring-framework-bom	6
shindig-gadgets	6
mondrian	6
jorbis	6
drools-persistence-jpa	6
hadoop-yarn-server-tests	6
apacheds-server-jndi	6
arquillian-drone-webdriver	6
ormlite-jdbc	6
hibernate-validator-annotation-processor	6
db	6
gt-wms	6
camel-mail	6
openid4java-consumer	6
hsqldb-j5	6
dropwizard-auth	6
x86	6
datanucleus-api-jdo	6
jbossorg-jdocbook-style	6
npn-boot	6
juli	6
hornetq-logging	6
forge-parent	6
shared	6
richfaces-parent	6
avalon-framework-impl	6
el-ri	6
libs	6
java-uuid-generator	6
camel-jpa	6
drools-templates	6
rexster-core	6
plexus-io	6
msgpack	6
apns	6
bcmail-jdk15on	6
transactions-jta	6
grizzly-websockets	6
mojo-executor	6
stickylistheaders	6
xslthl	6
tapestry-upload	6
qpid-client	6
jug	6
arquillian-jetty-embedded-7	6
clojure-contrib	6
browsermob-proxy	6
saxpath	6
gt-epsg-extension	6
fest-swing	6
struts2-spring-plugin	6
jasig-parent	6
littleproxy	6
google-http-client-jackson	6
github-api	6
netty-codec-http	6
repository	6
gwtquery	6
soapui	6
kryo-serializers	6
config	6
jackson-dataformat-xml	6
example	6
activiti-spring	6
jbpm-human-task-core	6
camel-quartz	6
jbpm-persistence-jpa	6
AppleJavaExtensions	6
xmlgraphics-commons	6
spring-integration-jmx	6
dropwizard-testing	6
izpack-standalone-compiler	6
libbase	6
fluent-hc	6
bval-jsr303	6
base	6
cache-api	6
hive-builtins	6
undertow-servlet	6
spring-data-hadoop	6
jersey-test-framework-grizzly2	6
tdb	6
force-wsc	6
richfaces-impl	6
hive-cli	6
jboss-sasl	6
hadoop-yarn-server-nodemanager	6
wicket-ioc	6
hive-service	6
recaptcha4j	6
tomcat-juli	6
batik-script	6
jboss-logging-annotations	6
blueprints-graph-sail	6
tycho-source-feature-plugin	6
cassandra-unit	6
neethi	6
logging	6
version	6
java-image-scaling	6
camel-cxf	6
jackson-smile	6
javase	6
undertow-core	6
resources	6
configurations	6
org-openide-filesystems	6
gt-coverage	6
minlog	6
libformula	6
vertx-core	6
netty-buffer	6
batik-xml	6
org-openide-util	6
seam-parent	6
jbpm-bpmn2	6
groovy-xml	6
fest-util	6
hadoop-yarn-server-resourcemanager	6
grails-bootstrap	6
jbpm-flow-builder	6
jmimemagic	6
arquillian-junit	6
UmlGraph	6
jaxrs	6
powermock-reflect	6
jboss-seam	6
seam-security	6
jaxws-tools	6
rewrite-servlet	6
spoutplugin	6
grizzly-http	6
datanucleus-jpa	6
http-client	6
kfs	6
infinispan-cachestore-jdbc	6
stream	6
jackson-dataformat-yaml	6
jamon	6
sisu-inject-plexus	6
reflow-velocity-tools	6
lucene	6
shrinkwrap-spi	6
jar	6
javafx	6
jclouds-log4j	6
struts2-convention-plugin	6
bPermissions	6
jetty-servlet-tester	6
bcpg-jdk15on	6
enunciate-jersey-rt	6
spring-batch-admin-resources	6
main	5
reporting	5
webbit	5
cucumber-core	5
hppc	5
aws-ec2	5
