project	frequency
javaosc-core	1
wicketstuff-isorelax	1
gs-ows	1
apktool-project	1
axon-distributed-commandbus	1
demoiselle-parent	1
titan-lucene	1
gt-ogr-jni	1
plugins-parent	1
attributes-processor	1
tuts-anno1-hello-world	1
withIdeRepoFileDependency	1
gravia-provision	1
gt2-epsg-wkt	1
webtier-all	1
felixweb	1
xwiki-platform-attachment	1
bree-target-compatibility	1
kuromoji-unidic	1
deegree-tilestore-geotiff	1
easysoa-proxy-cxf-interceptor	1
servicemix-validation	1
jzy3d-jdt-core	1
module-type-validation	1
lucandra	1
ifd-core	1
gs-kml-old	1
fiftyfive-wicket-js	1
rhymestore-web	1
weasis-dicom	1
StatelessPage	1
errai-tools	1
a-simple-web-project	1
jetty-killer	1
oauth2-client	1
quirks-faces-mojarra2-facelets	1
cxf-rt-management-web	1
ice-glacier2	1
arquillian-parent-tomcat	1
deegree-services-wps	1
stilts-stomplet-api	1
softwaremill-test-arquillian	1
GraphBaseJavaLibrary	1
restapi-jaxrs	1
camel-archetype-cxf-contract-first-blueprint	1
storemate-parent	1
mapstruct-distribution	1
libkdu_jni	1
mifos-war-test	1
geoplatform-model	1
gs-wms	1
help	1
jtransfo	1
elasticsearch-mocksolrplugin	1
radio-parent	1
content-api-impl-generic	1
interceptors-server	1
CustomLoaderJavaLibrary	1
TrackingEventJavaLibrary	1
ostrich-dropwizard	1
fenix-framework-core-adt-bplustree	1
camus-external	1
web-application-example	1
querydsl-jboss-modules	1
richfaces-ui-common-aggregator	1
onebusaway-nyc-queue-realtime	1
pace	1
fabric-dosgi	1
cambridge-spring	1
signature-examples-pom	1
cxf-soap-over-jms	1
mi	1
spring-full	1
ComplexEventException	1
databus-bootstrap-utils	1
mbm-hal	1
docTest	1
zoie-server	1
SurefireToolchains	1
gwtp-basic	1
security-ldap	1
mifos-db	1
tesla-polyglot-scala	1
gosu-classredefiner	1
databus-bootstrap-producer-impl	1
ImageCacheJ2MEJavaLibrary	1
tools-plugins-nls	1
killbill-plugin-api-payment	1
08-JPA	1
Moho-Sample-DefaultTestApp	1
lib-dempsyapi	1
jf-cancel	1
commons-testing	1
bakemono	1
wildfly-ts-integ-xts	1
transistore-basic	1
tr	1
rspec-core	1
buildNum	1
SPR-0000-war-xml	1
gatk-package	1
jai_imageio-jboss-modules	1
osmosis-areafilter	1
sample08-multimodulejava-module6	1
identityManagement	1
kendzi3d-collada-exporter	1
fenix-framework-core-consistency-predicates	1
milyn-scribe-hibernate	1
mostrecentfiles-api	1
sesame-sparql-queryparser	1
marytts-lang-fr	1
locationapi	1
elasticbeanstalk-service-webapp-archetype	1
infinispan-lucene-demo	1
dcm4che-tool-stgcmtscu	1
spatialite-jdbc	1
societies-android-comms-helper	1
parent-in-relpath	1
service-machines	1
camel-archetype-blueprint	1
easysoa-proxy-locator-mock-server	1
citrus-service-upload	1
smart-abstract-dao-decorator	1
myartifactid	1
ncpcommons	1
netflix-eventbus	1
ug-repose-valve	1
mvc-layout-samples	1
snuggletex-upconversion	1
wicket-bootstrap-themes	1
quirks-jsp	1
entando-plugin-jpcontentfeedback	1
jquantlib-all	1
arjuna	1
javafx-ui-desktop	1
osmosis-testutil	1
fabric-loanbroker-rateservice	1
narayana-jta-all	1
core-resources	1
pusher-java-client	1
ERChronic	1
capedwarf-tasks	1
gb-action-freemarker	1
virtjdbc3	1
granite-client-flex-udp	1
rewrite-addressbuilder	1
ipf-tutorials-osgi-ihe-route-pixpdqv3	1
spring-boot-sample-web-jsp	1
frascati-servlet-cxf	1
endrick-cache	1
SPR-8905	1
serengeti-cli	1
arquillian-deployment-extension-tutorial-functional-tests	1
xwiki-platform-administration-test	1
lily-integration-tests	1
json-unit-parent	1
tiscali-storage	1
cxf-x509-profile-client	1
esb-parent	1
openmrs	1
amber-oauth2-resourceserver	1
modeshape-sequencer-teiid	1
societies-api	1
variant	1
gdeproxy	1
social-webapp-portlet	1
switchyard-release	1
camel-example-netty-http	1
teiid-client	1
hdiv-docs	1
milton-davproxy-app	1
webcam-capture-driver-openimaj	1
patch-commands	1
mule-demo-chatter2sms	1
softwaremill-test	1
directory-chooser	1
richfaces4-start	1
wsrp-wss	1
frascati-component-factory-tinfi-oo	1
PhrescoFrameworkRuntime	1
nuxeo-platform-virtualnavigation-web	1
android-common-tasks	1
splitter-aggregator-reaper	1
robospice-core-test	1
adapter	1
xqj2	1
javalayer	1
ssl-for-web-services-war	1
flume-docs	1
clamavj	1
jvspherecontrol	1
gwtupload	1
axon-redis	1
atlassian-profiling	1
01-jsf-start	1
entando-core-webapp	1
robolectricsample	1
ERMailer	1
vert	1
org_json	1
easysoa-samples-smarttravel-meteo-model	1
aws-sts	1
brennus-asm	1
libreplan	1
usergrid-mongo-emulator	1
yarfraw	1
jmh-generator-annprocess	1
security-all	1
web-application-example-jpa	1
tesla-shell-standard	1
teaadmin	1
arquillian	1
tripleplay-swt-java	1
pf4j-demo-plugin2	1
ipf-commons-ihe-xds	1
module-bookmark	1
gshell-standard	1
tagapi-v1_5_R2	1
gs-mbtiles	1
RpgLeveling	1
frascati-model	1
crunch-archetype	1
poulpe-auth-plugin	1
myartifact	1
xwiki-commons-management	1
zPermissions	1
swing-parent	1
stern-library	1
storm-cassandra	1
JUnitTestsFeedback	1
config-core	1
gb-jms	1
jetty-nosql-memcached-parent	1
supersonic-android	1
pax-exam-invoker-junit	1
mr-kluj	1
drools-twitter-cbr	1
jsse	1
nexus-indexer-lucene-plugin	1
forge-faces	1
TouchButtonResourceAnimationJavaLibrary	1
aether-transport-classpath	1
project-converter-goal-default-log-directory	1
hornetq-jms-queue-example	1
entando-plugin-jpsurvey	1
rssaggregator	1
spring-fetching-json-with-ajax	1
jersey-examples	1
kie-wb-common-ui	1
embedded-crowd-api	1
picocontainer-web-struts	1
mocks-servlet	1
hornetq-core-microcontainer-example	1
dmdl-proj	1
xwiki-platform-velocity	1
10-mvc-2-solution	1
togglz-junit	1
AkkaEssentials	1
platform-sample-wai-template	1
servicemix-osworkflow	1
SPR-10441	1
softwaremill-util	1
crmservice-common	1
org-netbeans-modules-csl-api	1
ERQuartzScheduler	1
libsnmp	1
discussionheat	1
lightadmin	1
transistore-test-cluster	1
jersey-1829	1
gs-hello	1
pcap4j-packetfactory-propertiesbased	1
concurrencycontrol-src	1
javaspecialists	1
phresco-service-root	1
encomendaz-services-server	1
csm	1
service-gitlab	1
mayocat-platform-configuration-api	1
cxf-sts-tutorial-client	1
picketlink-forge-spi	1
SPR-11491	1
rdfbean-spring	1
test-scalac-plugin	1
ruon-client	1
phresco-service-tools	1
gwtwidgets	1
cdiutils	1
content-spi-hbase-impl	1
drools-shapes-reasoner	1
iPhoneHybrid	1
onebusaway-wiki-integration-file	1
my-app	1
spring-social-twitter4j	1
gem-parent	1
gb-alias-registry-base	1
victor	1
crud-wxs-webapp	1
xuggler	1
metrics-sampler-extension-redis	1
dummy-a	1
prevayler-core	1
datawarning-war	1
firebug	1
accumulo-tserver	1
itext-xtra	1
portlet-bridge-tck-section3-2-lifecycle-set	1
uberfire-widgets-properties-editor-backend	1
citrus-model-mail	1
dcm4che-ws-rs	1
wildfly-connector	1
addressbook-jsp	1
snpeff	1
metriccatcher	1
secure-soap-archetype	1
dubbo-filter-validation	1
GameLicensingOnlyDemoJavaLibrary	1
xviewer	1
qrbg	1
cambridge-playframework	1
spring-data-hadoop-server	1
picketlink-forge	1
jmx-annotations	1
FileAdvancedGAEJavaLibrary	1
android-common-preferences	1
android-common-wizard	1
runit-somewhere	1
gdms	1
tasklist-persistence-simple	1
icons	1
SPR-8639	1
switchyard-console-component-core	1
util-parent	1
wicket-jquery-ui-core	1
ujmp-core	1
sting-root	1
wgp	1
hornetq-jms-symmetric-cluster-example	1
droid-parent	1
deegree-tilestore-cache	1
dropwizard-hibernate	1
jersey-entity-filtering	1
package-air	1
spring-data-hadoop-core	1
resteasy-cdi-ejb-test	1
dtkit-processor	1
xwiki-platform-menu-ui	1
jira-lang-it_IT	1
opennlp-sent-models	1
http-esi-testbed	1
flexojavaparser	1
gwt-platformlayer-shell	1
latke-client	1
SPR-9851	1
jml-repo	1
camel-notifications	1
testdata-aspectj	1
cookcc	1
glimpse-extras-swt	1
gs-colormap	1
NUnit	1
java_util_hashtable	1
dontpush-addon-ozonelayer	1
gwt-extension	1
hornetq-jms-replicated-transaction-failover-example	1
jxutils	1
mysql-connector-mxj-db-files-fixed	1
tablecombo	1
GeographicMapLibrary	1
fabric8-bom	1
jruby-tests	1
mapsforge	1
shiro-cas	1
cf-java-client	1
wildfly-ts-integ-basic	1
jcommune-model	1
WindRide-common	1
portlet-bridge-tck-main	1
jangaroo-compiler	1
jdbc-binding	1
imageio-thumbsdb	1
metrics-sampler-distribution	1
citrus	1
groovy-ant	1
codeartisans-parent	1
pax-url-obr	1
quickdt	1
sn-connectors	1
phresco-windows8-archetype	1
using_mtom_and_apache_fop-war	1
license4j	1
deepamehta-branding	1
HdrHistogram	1
privacypreferenceguis	1
elasticsearch-approx-plugin	1
entando-page-bootstrap-hero	1
pin-management	1
desktop-recent-files	1
dcm4che-tool-storescu	1
riftsaw-bpel-dao	1
android-calendarview-parent	1
seam-social-api	1
teatools	1
jplurk-oauth	1
microblog-demos	1
jvmassert	1
script-plugin	1
cucumber-jruby	1
biojava3-genome	1
functional-test-1-5	1
solr-lucene-analyzers	1
localjunit-crash-recovery-tests	1
colocated-failover	1
sfdc-canvas-sdk	1
cdk-builder3dtools	1
provisionr-amazon-tests	1
ECO	1
ENdoSnipeDataAccessor	1
e2e-model-gwt	1
cache-annotations-ri-common	1
apacheds-kerberos-shared	1
nuxeo-webengine-sites-api	1
HelloWorldExample	1
tyrus-websocket-core	1
GameLicensingOnlyNormalJavaLibrary	1
springrest	1
gnip4j-mock-server	1
unboundid-ldapsdk	1
extension-ear	1
JAXBNamespacePrefixMapper	1
kie-services-client	1
jbehave-scala	1
tesla-polyglot-yaml	1
GUI	1
htmleditor	1
narayana-full	1
ipf-tutorials-osgi-ihe	1
platform-extension	1
atlassian-renderer	1
cloudservers	1
product-portal-example	1
mokai-rabbitmq	1
gshell-admin	1
locale	1
slim3-gen	1
effects	1
service-openldap	1
infinispan-server-parent	1
docking-frames-ext-glass	1
javascript-squid	1
scriptus	1
registration-impl	1
gs-monitor-core	1
liquibase-cdi	1
examples-oauth-provider	1
blacktie-xsd	1
CustomDatepickerAjax	1
MyLibraryA	1
fathomdb-server	1
charts-quickstart	1
geoplatform-editor-api	1
javac8-oo-plugin	1
onebusaway-nyc-queue-test	1
entando-plugin-jpshowletreplicator	1
Lab4Jefis	1
accumulo	1
cxf_util	1
mongodb-adapter	1
ping-pong-sa	1
rabbit-rest	1
redisgen	1
android-async-runners	1
okapi-filter-dtd	1
facebook_connector	1
citations	1
aptina-unit	1
configuration-support	1
PreLoaderHttpJavaLibrary	1
dashboard	1
lily-tester	1
nova-client	1
mule-module-cmis	1
mule-magento-demo-search-product-and-update-media	1
jsondiff	1
oxalis-distribution	1
example-tutorial-stub	1
droid-results	1
flume-distribution	1
script-library	1
sentry-provider-file	1
jolokia-site-skin	1
xwiki-platform-core	1
email-preview	1
jsonevent-layout	1
behemoth-mahout	1
rest-http	1
capedwarf-endpoints	1
drools-infinispan-persistence	1
webcam-capture-parent	1
torquebox-stomp	1
gb-action-shapefile	1
Facebook	1
basic-module-test	1
mes-plugins-assignment-to-shift	1
geekseek-web-rest-parent	1
cobar-parser	1
hbnpojogen-core	1
AllBinaryTiledLayerJavaLibrary	1
slide	1
netty-xnio-transport	1
processFlow-interfaces	1
GameInputMEMotionJavaLibrary	1
archetype-repository	1
qcadoo-plugins-user-management	1
TARDIS	1
jipijapa-hibernate4-3	1
cloudfoundry-caldecott-test	1
griffon-guide	1
DACommsBundle	1
TestSocietiesPlatformCommsExceptions	1
picalc-worker	1
classroom	1
springockito	1
reindeermods	1
require	1
db-h2	1
atomikos-util	1
ots-jts	1
libgdx-contribs-utils	1
org-openide-options	1
openstack-java-sdk	1
p2-browser	1
qalingo-api-web-remote-ws	1
jbpm-context	1
devicemanagerconsumer	1
querydsl-lucene	1
gooddata-cl-snaplogic-lib	1
errai-jaxrs-provider	1
socialpm-parent	1
ft	1
customer-portal-example	1
nova-model	1
jooq-spring-guice-example	1
kdoc	1
fenix-framework-backend-jvstm-ojb-code-generator	1
sandler	1
nls	1
kie-wb-common-datamodel-backend	1
gs-algo	1
gwt-initials-avatars-server	1
siren-aggregator	1
ERXTest	1
postgis-stubs	1
it0006-jni-3rdparty	1
ipf-platform-camel-test	1
load-extern-profiles-xex	1
activiti-mule	1
jbossall-client	1
supersonic-installer-rpm	1
ch02	1
wsdef-common	1
modeshape-web-jcr-rest-client	1
joist-migrations	1
ipf-commons-core	1
atlas-configuration	1
ssl-for-web-services-client	1
yellowpages	1
gb-actions	1
brooklyn-storage-hazelcast	1
jagger-test	1
JavaLuceneAdaptor	1
easysoa-registry-doctypes-api	1
project-manager	1
TestGameDemoOpenGLESImageAnimationInterfaceResourceFactoryJavaLibrary	1
asyncload	1
quickstart_html_sql-fixture	1
MotionGestureBaseJavaLibrary	1
dspace-sword	1
imageio	1
optaplanner-bom	1
druid-indexing-service	1
geoplatform-persistence-search	1
coursemanager-chapter-05-service-and-repo	1
picketlink-distribution	1
jdbcMysql	1
ardor3d-extras	1
cdi-ejb-test-webapp	1
richfaces-showcase-webdriver-ftest	1
webappbenchmarker-playground	1
xwiki-platform-chart-renderer	1
annis-visualizers	1
activemq-console	1
antlrworks	1
integrationtestutil	1
weka-dev	1
jersey-gf-cdi-ban-custom-hk2-binding	1
wind	1
zorka-common-test	1
nuxeo-platform-convert	1
wildfly-domain-management	1
PickupLayerJavaLibrary	1
testFx	1
gosu-xml	1
servlet-3-init-5	1
xwiki-enterprise-installer-debian-common	1
otertool	1
interface-common-jaxrs	1
jode	1
arquillian-rest-warp-impl-base	1
snmp	1
mbm-client	1
local-parent	1
conan-demo-processes	1
openbook_cleaner	1
latke-parent	1
jewelcli-packagingtest	1
dummy-api	1
dep-child-1	1
composite-demo	1
fluxion-ajax-beans	1
felixosgi	1
ironjacamar-jdbc	1
project-with-multiple-executions	1
gosu-webservices	1
libsigar-x86-linux	1
docdoku-smoke-tests	1
metawidget-richfaces	1
additional-tests	1
arquillian-parent-weld	1
colorpicker-ui	1
cedj-build-resources	1
common-junit48	1
blacktie-cpp-plugin	1
ERCaching	1
deegree-workspace-xplan40	1
hornetq-jms-xa-send-example	1
ajp-client	1
websocket-engine-jetty	1
societies-rfid-schema	1
errai-cdi-demo-tagcloud	1
translator-solr	1
parking-parent	1
jboss-as-console-dialogs	1
arcsde-plugin	1
uberfire-metadata-commons-io	1
stormpath-sdk-root	1
eclipsecolortheme	1
jdbc-connector-config	1
otp-thrift-api	1
rampart	1
eWallet	1
appfuse	1
scale7-core	1
cdk-pdbcml	1
BlisketBaseJavaLibrary	1
jaxrs-jaxws-transformations-service	1
datamanagement	1
nuxeo-platform-annotations-api	1
sparql-summary	1
uimaj-bootstrap	1
highcharts	1
api-groovy	1
scm-cli-client	1
droid-report	1
prototypes-core	1
alfresco-web-editor-plugin	1
jvstm	1
api-all	1
jersey-cache-client	1
drools-shapes-utilities	1
contentprovider	1
MiPrimerPrograma	1
ojdbc16	1
jaxrs-jaxws-authorization-service-jaas	1
tcp-amqp	1
engine-nifty	1
deegree-sqldialect-mssql	1
phantomjs	1
param-srl	1
jolokia-client-javascript-test-app	1
swordv2	1
wicket-dashboard-loremipsum	1
cocktail-app	1
ext-realm-error	1
restygwt-project	1
jms-examples	1
utf-8	1
hot-sneaks	1
barchart-udt-it	1
infinispan-quickstart-dist	1
ejb-cmt-example	1
netty-parent	1
java-keystone	1
Javelin	1
cms-tools-plugin	1
moduleTwo	1
tesla-shell-pref	1
modeshape-log4j-logging-example	1
simple-rpc-client-example	1
granite-server	1
deegree-remoteows-wfs	1
taurus-frontend	1
snacktory	1
insight-plugin-spring-batch	1
SPR-5628	1
xwiki-platform-wiki-manager-ui	1
activiti-upgrade-fetcher	1
liblinear	1
skeleton-server	1
loadui-groovy-utils	1
greenhousedata-element-vcloud	1
TouchButtonMappingJavaLibrary	1
workbook-ex06_2-as7	1
ag-player-es	1
qcadoo-saas-shop	1
database-reading-partitioning-solution	1
task-framework	1
06-hibernate-2-solution	1
DroxPerms	1
jai-mlibwrapper	1
royalcommands-NMS1_6_R3	1
cppunit	1
morphia-parent	1
asynchronous_web_service_calls	1
myfaces-test22	1
mule-module-esper	1
geotools-sync-client	1
rsc_effects	1
sample-stock	1
test-multi-child	1
macro	1
ranking-api	1
ch05	1
spring-yarn-integration	1
spiderman	1
rose-example	1
apacheds-parent	1
googlecode	1
ignition-location-tests	1
agile-app-milestones	1
ode-bpel-compiler	1
addressbook-struts	1
allwidgets-jquerymobile	1
alfresco-wcmqs-web	1
d	1
webadmin-all	1
gpuimage-sample	1
ap	1
axis2-jaxws-api	1
libusb4java	1
scm-samples	1
mayocat-platform-configuration-platform	1
ext-plugin-artifact-missing	1
sesametools-all	1
deegree-services-wcs	1
calendar-component-create	1
css-context-monitor	1
Kayak-logging	1
gem_first	1
closure-compiler-parent	1
myPmdTask	1
asta4d	1
pom_first	1
javacl-core-jna	1
surefire-697-niceSummary	1
fcrepo-integrationtest-core	1
client-ip-identity	1
nosqlunit	1
manualpartition	1
GameConfigurationHTMLJavaLibrary	1
hornetq-jms-reattach-node-example	1
produce	1
nocheatplus-parent	1
conventions-core	1
lily-archetype-lily-server-plugin	1
docdoku-server-converter-kmz	1
SPR-9464	1
gb-action-commons	1
gdata-calendar	1
wicketopia-hibernate	1
docbook-resources	1
oozie-sharelib-pig	1
eucalyptus-block-storage	1
camel-example-simplejirabot	1
xwiki-commons-observation	1
AndroidAgentTester	1
ClientInformationMobileLicensingRegistrationJavaLibrary	1
examples-async-job-service	1
findbugs-1	1
visitante	1
jclouds-apis-project	1
file-processing	1
deegree-core-protocol	1
common-tests	1
joist-domain-testing	1
go2cloud-jhb1	1
jsilver	1
activiti-kickstart-java	1
fakereplace-weld	1
morevaadin-parent	1
torquebox-no-op	1
lily-process	1
thirdparty	1
jbpm-console-ng-human-tasks-api	1
openstack-api	1
jolokia-osgi-bundle	1
claims-viewer-scimpi	1
shared-ldap-model	1
plugin-jgroups32	1
workbench_help	1
jasmine-webapp-custom-dirs	1
belajar-restful-web	1
EssentialsChat	1
SPR-10697	1
jul-to-slf4j-stub	1
timeline	1
cis-collaboration	1
xwiki-platform-help	1
saxon-xom	1
tr13	1
rubyzip	1
prod	1
xwiki-platform-workspace-api	1
biojava3-sequencing	1
RouteConverterCmdLine	1
alfresco-mobile-android-extension-samsung	1
user-agent-api	1
protein-comparison-tool	1
social-component-opensocial	1
native-code	1
iijdbc	1
smart-dao-queryparam	1
osgitemplate	1
simple-validation	1
switchyard-bpel-console-server	1
GameScoresJ2MEJavaLibrary	1
picocontainer-root	1
deegree-spring	1
GoldenChestEconomy	1
scm-git	1
brooklyn-camp	1
registry-impl	1
ij-scripting-java	1
karaf-feature-archetype	1
r06	1
flexographicalengine	1
central-logging	1
j-interopdeps	1
pressgang-tools	1
zkex	1
eclipse-parent	1
cmr-webdav	1
WorkflowJavaLibrary	1
doklet	1
firefly-common	1
nlm-extraction	1
oozie-hbaselibs	1
citrus-bookstore-war	1
frascati-implementation-script-jython	1
geostore-rest-api	1
openengsb-connector-parent	1
xwiki-platform-wiki-test-pageobjects	1
ardor3d-lwjgl	1
spring-flex-core	1
imageio-ext-gdaldoq1	1
hyperlink	1
dubbo-cluster	1
ContextBroker	1
features-parent	1
geoplatform-featureinfo	1
simple_wicket_restful_jdo	1
Announcements	1
vimVmodl	1
ode-bpel-dao	1
patient-data-api	1
raven-getsentry	1
hawtio-default	1
paoding-rose-scanning	1
cxf-ut-messagelayer-service	1
ij-core	1
camel-itest	1
infinispan-persistence-soft-index	1
ow-misc	1
gs-wfsv	1
dilib	1
it0008-executable-dep-lib-shared	1
ode-jca-server	1
SPR-9931	1
scp	1
connector-ldap	1
reservationservice-service-endpoint	1
properties-compiler	1
android-junit4-test-mockito	1
gnip4j-documentation-reference	1
cloudreports	1
LoggingGAEExceptionLog	1
atmosphere-socketio	1
execute-props-3	1
nuxeo-platform-publisher-api	1
wicketstuff-whattf	1
weasis-imageioext-j2k-codec-macosx-x86-64	1
propertyset	1
identity-insert	1
pf4j-demo-api	1
insight-util	1
examples-parent	1
slidinguppanel	1
swingx-ws	1
solid-lsp	1
ViewsJavaLibrary	1
gb-core-model	1
checkstyleApi	1
endosnipe-dataaccessor	1
example-summarization	1
resolvers-ning-async	1
connector-google	1
datalab-api	1
lambda	1
dubbo-test	1
no-system-jar-on-classpath	1
brackit	1
iChat	1
hornetq-selector	1
InitInfoJavaLibrary	1
xwiki-platform-wikistream-test	1
pi4j-device	1
devcenter-java-database-plain-jdbc	1
jboss-as-subsystem-test-framework	1
synchronize	1
enunciate-integration-cxf-rest	1
nuxeo-platform-mail-types	1
gs-web-csw	1
entity-provider	1
grails-plugin-gsp	1
service-cloud-raw	1
interceptors	1
isis-objectstore-sql-tests-common	1
ode-bpel-obj	1
quickstart_html_sql	1
oscilloscope	1
mes-plugins-line-changeover-norms-for-orders	1
kitten-project	1
algorithms-plugin	1
geronimo-spec-javamail	1
classicblue	1
onebusaway-nyc-tdm-adapters	1
android-ColorPickerPreference	1
platform-sample-acme-website-webapp	1
axon-trader-external-listeners	1
execute-props-6	1
jira-func-tests	1
wildfly-patching	1
richfaces4-iteration	1
mifos-abstract-domain	1
map-widget	1
xwiki-platform-localization-sources	1
workbook-ex07_1	1
dcm4che-tool-ianscp	1
05-tx-1	1
flexowsclient	1
simpledb	1
flashlight-framework	1
installation	1
milyn-smooks-perfcomp	1
sonar-server	1
kiebase-inclusion	1
xwiki-platform-localization-source-wiki	1
security-manager-example	1
weasis-imageio-codec-linux-x86	1
nuxeo-platform-annotations-web	1
allwidgets-swing	1
fractal-bf-core	1
log-synth	1
jbpm-console-ng-bpm-home-client	1
jodd-joy	1
pentaho-hadoop-shims-api-test	1
atomic-processing-start	1
stilts-stomp-server-core	1
dtds	1
sisu-equinox-launching	1
seyren-integration-tests	1
processFlow-common	1
modeshape-extractors	1
tagapi-v1_7_R1	1
ipf-osgi-config-ihe-hl7v3	1
webcam-capture-addon-spycam	1
rating-parent	1
saiku-web	1
cas-server-support-spnego	1
mojo-1	1
TestAdaptor	1
buji-parent	1
seam-persistence-reference-guide	1
lily-util	1
jcabi-log	1
jtransfo-demo	1
cdi-query-api	1
htrace-core	1
test-multi-pro-runner-useOutputFolderPerProject-default-value	1
android-quickstart	1
plugin-chm	1
cxf-sts-tutorial	1
kendzi3d-jogl-textures-josm	1
additions	1
android-common-ads	1
jlan	1
jaskell-engine	1
RFIDDriver	1
wc	1
gw-asm-tree	1
pkcs11	1
mondrian-data-foodmart-json	1
gshell-shell	1
plugin-jgroups35	1
xmldb	1
gs-sample-data-access-test	1
nexus-ruby-tools	1
example-direct	1
thick	1
SPR-6508	1
MersenneTwister	1
objectfabric-js	1
it-computer-database	1
sojo	1
ds-service-derby	1
griefprevention	1
surefire-985	1
atlas-jyson	1
common-tasks	1
eHour-standalone	1
lily-standalone-launcher	1
citrus-ws	1
webservice-example-ejbclient	1
share	1
uberfire-bom	1
deegree-protocol-csw	1
rewrite-integration-faces-tests	1
ejb-remote-example	1
sass	1
spring-freemarker-integration	1
project-plugin-level-configuration-only	1
mes-plugins-gantt-for-orders	1
gmbal-api-only	1
wicket-dashboard-demo	1
t05-d	1
build-info-	1
SocietiesAndroidSocialData	1
example-business	1
camel-talendjob	1
cis-manager	1
first	1
dynamodb-binding	1
avaje-agentloader	1
gs-restconfig	1
test-pro-junit-html-report-false	1
logging_processor	1
xwiki-rendering	1
fuse4j-fakefs	1
jndi-server	1
jboss-as-parent-metadata	1
hpcloud-compute	1
tycho-eclipserun-plugin	1
sofia-core	1
corejet	1
hbnpojogen	1
killbill-osgi-bundles-lib-killbill	1
site1	1
buildDir	1
choco-samples	1
cra-client-example	1
xwiki-commons-filter	1
picalc-master	1
commons-gallery	1
datecalc-jdk	1
dubbo-test-compatibility	1
chapter07-samples	1
netflix-lifecycle	1
force-codegen-test	1
rapidftr-android	1
warc-explorer-parent	1
Moho-Sample-MusicOnHold	1
switchyard-camel-jaxb	1
collections-foundation	1
gapdeduce	1
beam-envi-reader	1
coin-test	1
woadaptors	1
milyn-smooks-calc	1
jbehave-i18n-example	1
gs-libjpeg-turbo	1
local_install	1
item-processor-start	1
insight-camel	1
databus-core-impl	1
akubra-map	1
cdk-log4j	1
junit-notExtendingTestCase	1
hornetq-javaee-mdb-cmt-no-tx-example	1
xwiki-platform-webdav	1
arquillian-jetty-embedded-9	1
selenium-example	1
atlas-logs-lzo-faker	1
atmosphere-gwt20-client	1
onebusaway-webapp	1
bte-core	1
desktop-context	1
entando-plugin-jpstats	1
CraftIRC	1
ws-binding-bsmadmin-client	1
SPR-10019	1
asagi	1
openwayback-dist	1
webservice-example-client	1
dari-app-archetype	1
ERDivaLookExample	1
structr-core	1
modeshape-bom-jbossas	1
metawidget-javassist	1
appverse-web-modules-backend-security-oauth2	1
target-platform-e37	1
service-wordpress	1
calabash-driver-common	1
agrepo	1
easysoa-remote-frascati	1
spring-data-book-rest	1
12-security-1	1
bad-ext-plugin-dep-ver	1
repose-filters	1
TestFailed	1
build-pipeline-plugin	1
htmlformentry-api	1
single_webapp	1
TestAndroidAPIContainer	1
usergrid-standalone	1
pf4j-demo-plugins	1
gt-geotiff-new	1
miso-web	1
jaxrs-oauth2-service	1
spring-rabbit-helloworld	1
sameversion	1
spring-data-book-hadoop-batch-wordcount	1
GaugeView	1
report-engine-api	1
opensaml-with-web-services-war	1
onebusaway-api-webapp	1
kendzi3d-models-library-res	1
appengine-jsr107cache	1
hello-world-java	1
isis-viewer-html	1
rewrite-test-harness	1
dropwizard	1
vaadin-client-compiler-deps	1
eHour	1
rpm	1
qtiworks-engine-manager	1
qcadoo-saas-plugins-plugin-management	1
classpath	1
s4-comm	1
drools-shapes-generator-plugin	1
nant	1
insight-metrics	1
fabric-runtime	1
dspace-api-lang	1
mercury-repo-local-m2	1
spring-security-common	1
runstats-client	1
appverse-web-modules-backend-frontfacade-json	1
hbase-shell	1
external-layout-example	1
ij-scripting-clojure	1
sauce_java_common	1
jangaroo-runtime	1
groovy-groovydoc	1
lims-integration-ui	1
spring-data-book-hadoop-wordcount-spring-intermediate	1
blobstore-basics	1
server-standalone	1
camp-server	1
deepamehta-test	1
jcommon-logging-log4jlog	1
hibernate-matrix-testing	1
Dynmap-WorldGuard	1
android-plist-parser-app	1
nuxeo-platform-imaging-dm	1
aerogear-crypto	1
snapi	1
kotlin-js-tools	1
instrumentation-accessor-api	1
gs-script-groovy	1
colormixer	1
cdi-webapp	1
uri-identity	1
drools-benchmark	1
test-pro-junit-html-report-smartbear-soapui-pro	1
vt-crypt	1
enforcer-rules	1
testng-junit4-together	1
cdk-test-valencycheck	1
atlas-stm-itest	1
xwiki-platform-scheduler	1
hypertable	1
grails-spring	1
jclouds-skeletons-project	1
quirks-faces-myfaces2-facelets	1
claims	1
sam-common	1
agit-integration-tests	1
rest-driver	1
spring-social-movies	1
ivory-client	1
ds-service-db2	1
tooling-jclouds-all	1
commons-serengeti	1
taurus-parent	1
capedwarf-blobstore	1
teamengine-jaxen-full	1
tachyon-parent	1
TestContainerUAM	1
latextaglet	1
deegree-core	1
jsoncrud	1
milyn-smooks-example-xml-to-java-virtual	1
sqs	1
deegree-featurestore-sql	1
chapter06-samples	1
killbill-embeddeddb-mysql	1
quercus	1
gwtp-mvp-shared	1
insight-plugin-javax-mail	1
appfuse-web	1
gt-vpf	1
weld-extensions	1
gatein-dep	1
